Time,Visitor ID,URL,Referer,Keyword,Rank,City,Country
2013-09-21 18:36:12 -0700,0,http://brighton.academia.edu/MithileyshSathiyanarayanan,http://www.academia.edu/,"","",Jitra,Malaysia
2013-09-22 10:30:07 -0700,1,http://brighton.academia.edu/MithileyshSathiyanarayanan,,"","",Bangalore,India
2013-09-22 10:30:20 -0700,2,http://brighton.academia.edu/MithileyshSathiyanarayanan,http://brighton.academia.edu/MithileyshSathiyanarayanan,"","",Bangalore,India
2013-09-22 10:30:44 -0700,2,http://brighton.academia.edu/MithileyshSathiyanarayanan,http://ernet.academia.edu/BoobalanVetrivel,"","",Bangalore,India
2013-09-22 21:08:03 -0700,3,http://brighton.academia.edu/MithileyshSathiyanarayanan,http://uk-mg42.mail.yahoo.com/neo/launch?.rand=9lc0hsh5apbo9,"","",,the United Kingdom
2013-09-22 21:08:53 -0700,3,http://brighton.academia.edu/MithileyshSathiyanarayanan,http://uk-mg42.mail.yahoo.com/neo/launch?.rand=9lc0hsh5apbo9,"","",,the United Kingdom
2013-09-22 21:09:07 -0700,3,http://brighton.academia.edu/MithileyshSathiyanarayanan,http://brighton.academia.edu/MithileyshSathiyanarayanan,"","",,the United Kingdom
2013-10-13 01:27:50 -0700,4,http://www.academia.edu/4545755/Multi-Channel_De_cit_Round-Robin_Scheduling_for_Hybrid_TDM_WDM_Optical_Networks,"http://www.google.co.in/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&ved=0CDUQFjAB&url=http%3A%2F%2Fwww.academia.edu%2F4545755%2FMulti-Channel_De_cit_Round-Robin_Scheduling_for_Hybrid_TDM_WDM_Optical_Networks&ei=aVlaUpyrDIerrAfns4DACg&usg=AFQjCNFmsSjD4wFmYjg0vY0uz9kpxYIvYw&bvm=bv.53899372,d.bmk",,2,Mumbai,India
2013-10-17 04:38:55 -0700,5,http://www.academia.edu/4545755/Multi-Channel_De_cit_Round-Robin_Scheduling_for_Hybrid_TDM_WDM_Optical_Networks,,"","",Centurion,South Africa
2013-11-13 05:35:17 -0800,6,http://brighton.academia.edu/MithileyshSathiyanarayanan,http://brighton.academia.edu/SharmilaSatthar/Papers,"","",,the United Kingdom
2013-11-13 05:35:19 -0800,6,http://brighton.academia.edu/MithileyshSathiyanarayanan,http://brighton.academia.edu/SharmilaSatthar/Papers,"","",,the United Kingdom
